Place Name,Address,Average Rating,Total Ratings,Phone Number,Website,Latitude,Longitude,Category
Nikon Center Rawalpindi,"112-D, Rahim Plaza, Murree Rd, near Health ways, Saddar, Rawalpindi",4.4,224,0321 8578797,https://nikon.com.pk/,33.5951399,73.0574162,appliances
Ms Communications Parts Wala,"Shop No, Basment rania Mall, LG.35 Bank Rd, Saddar, Rawalpindi",4.5,581,(051) 8440494,http://partswala.pk/,33.594078,73.0548621,mobile
PENTA SPORTS,"Akhter Plaza, Bank Rd, Saddar, Rawalpindi",3.6,14,0347 7776038,http://pentasports.pk/,33.5937911,73.0548443,sports
SWAG Sports World & Garments,"Office No. 1 & 2, Ground Floor, Opposit Poonch House, GM Plaza, Adam Jee Rd, Saddar, Rawalpindi",5,2,(051) 5120118,https://thealphaapparels.com/,33.5956542,73.054285,sports
Book Centre,"32 Haider Rd, Saddar, Rawalpindi",4.5,73,(051) 5565234,http://bookcentreorg.wordpress.com/,33.5966505,73.0490938,books
Students Book Company,"Bank Rd, Saddar, Rawalpindi",4.1,207,(051) 5567305,https://studentspak.com/,33.5966411,73.0512043,books
Idris Book Bank,"Bank Rd, Saddar, Rawalpindi",4.2,1119,(051) 5568898,https://idrisbookbank.com/,33.5957065,73.0524567,books
Wise Tech,"Shop 55-t3، 10-A Haider Rd, Saddar, Rawalpindi",4.3,157,(051) 5514784,http://wise-tech.com.pk,33.594549,73.0528499,laptops
Intag Laptop Store - Best Laptop Store in Rawalpindi,"Intag Laptop Stores, Haider Rd، near Bread & Butter Bakery, Saddar, Rawalpindi",4.5,351,0312 5226133,http://intaglaptops.com/,33.5946172,73.0529614,laptops
Computer Market Saddar Rawalpindi,"Shop # 8 Ground Floor, Al-Karam Plaza, Haider Rd, Saddar, Rawalpindi",4.2,30,0321 2287822,http://mediainternational.pk/,33.5958757,73.0505388,laptops
Computer Market Saddar Rawalpindi,"Shop # 8 Ground Floor, Al-Karam Plaza, Haider Rd, Saddar, Rawalpindi",4.2,30,0321 2287822,http://mediainternational.pk/,33.5958757,73.0505388,laptops
AK LAPTOP STORE,"Mezan, AK LAPTOP STORE # Bank Road, Bank Street, Saddar, Rawalpindi",4.9,275,0323 5511633,https://aklaptops.pk/,33.5957267,73.0540021,laptops
Laptop Square,"Shop Lower Ground # 53, Rania Mall, Bank Rd, Saddar, Rawalpindi",5,4,0300 1230326,http://laptopsquare.pk/,33.5957548,73.0537446,laptops
Al Razzaq Traders,"Bank Rd, near meezan Bank,along side sonica jewelers, Saddar, Rawalpindi",4.2,9,(051) 5518153,https://alrazzaqtraders.com.pk/,33.5949967,73.0532513,laptops
A Tech Mall,"Saddar, Rawalpindi",3.1,27,(051) 5566040,http://atechmall.pk/,33.5951214,73.0535674,laptops
HA Computer,"saddar computer market, Rawalpindi",5,3,0333 5540690,http://edeelo.com/,33.5955475,73.0541733,laptops
Yahoo Computer,"Mihas Plaza Bank Rd Computer Market, Saddar, Rawalpindi",5,6,0334 0811435,https://yahoocomputerpk.com/,33.5952624,73.0532316,laptops
IT Market Rawalpindi,"Al - Karam Plaza, Haider Rd, Saddar, Rawalpindi",4.7,6,0321 2287822,http://mediainternational.pk/,33.5946297,73.0529516,computers
